experiment_id,description,method,seed,split,checkpoint_file,val_miou,test_miou,knn_k,knn,frame_count,training_seed,perturbation_seed,config,raw_results,git_commit,notes
loeo_5,LOEO fold 5 (held-out S5 Warehouse C; val S3; KNN),ds_rangenet,0,test_S5,ds_rangenet_loeo5_ep135_miou71.50.pth,71.50,NA,3,yes,12000,0,NA,configs/loeo/fold5_S5.yaml,results/raw/loeo_folds.csv,a3f7c2e,Line L: Table 5 fold 5; mIoU=71.5
loeo_6,LOEO fold 6 (held-out S6 Parking lot A; val S3; KNN),ds_rangenet,0,test_S6,ds_rangenet_loeo6_ep135_miou71.80.pth,71.80,NA,3,yes,12000,0,NA,configs/loeo/fold6_S6.yaml,results/raw/loeo_folds.csv,a3f7c2e,Line L: Table 5 fold 6; mIoU=71.8
loeo_7,LOEO fold 7 (held-out S7 Parking lot B; val S3; KNN),ds_rangenet,0,test_S7,ds_rangenet_loeo7_ep135_miou70.20.pth,70.20,NA,3,yes,12000,0,NA,configs/loeo/fold7_S7.yaml,results/raw/loeo_folds.csv,a3f7c2e,Line L: Table 5 fold 7; mIoU=70.2
loeo_8,LOEO fold 8 (held-out S8 Steel factory C; val S3; KNN),ds_rangenet,0,test_S8,ds_rangenet_loeo8_ep135_miou70.80.pth,70.80,NA,3,yes,12000,0,NA,configs/loeo/fold8_S8.yaml,results/raw/loeo_folds.csv,a3f7c2e,Line L: Table 5 fold 8; mIoU=70.8
loeo_9,LOEO fold 9 (held-out S9 Warehouse D; val S3; KNN),ds_rangenet,0,test_S9,ds_rangenet_loeo9_ep135_miou71.10.pth,71.10,NA,3,yes,12000,0,NA,configs/loeo/fold9_S9.yaml,results/raw/loeo_folds.csv,a3f7c2e,Line L: Table 5 fold 9; mIoU=71.1; mean=71.0 std=0.52
modality_controls,Modality control conditions (Line V: validation; seed 0; no KNN),ds_rangenet_full,0,validation_S3,ds_rangenet_full_I_seed0_ep138_miou73.18.pth,73.18,NA,3,no,1300,0,NA,configs/modality/controls.yaml,results/raw/modality_controls.csv,a3f7c2e,Line V: Table 9; geometry-only=58.3; reflectance-only=56.8; early-fusion=67.9
modality_perturb,Inference-time modality perturbations (Line V; frozen ep138 checkpoint),ds_rangenet_full,0,validation_S3,ds_rangenet_full_I_seed0_ep138_miou73.18.pth,73.18,NA,3,no,1300,0,NA,configs/modality/perturb.yaml,results/raw/modality_perturb.csv,a3f7c2e,Line V: Table 9; intensity_missing=65.4; intensity_corrupted=66.1; geo_sparse=67.3; cross_frame=64.7
igca_ablation,IGCA design ablation (Line D: validation; no KNN; pooled ref dk=64),ds_rangenet_full,0,validation_S3,ds_rangenet_igca_seed0_ep130_miou71.60.pth,71.60,NA,3,no,1300,0,NA,configs/ablation/igca.yaml,results/raw/igca_ablation.csv,a3f7c2e,Line D: Table 6; pooled IGCA ref; dk=64 SP=yes
loss_ablation,Loss function ablation (Line D: validation; no KNN),ds_rangenet_full,0,validation_S3,ds_rangenet_loss_seed0_ep132_miou71.60.pth,71.60,NA,3,no,1300,0,NA,configs/ablation/loss.yaml,results/raw/loss_ablation.csv,a3f7c2e,Line D: Table 7; lambda_F=0.6 best; small_obj=61.6
attention_control,IGCA vs conventional cross-attention (Line V: validation; seed 0; no KNN),ds_rangenet_full,0,validation_S3,ds_rangenet_attn_seed0_ep136_miou73.20.pth,73.20,NA,3,no,1300,0,NA,configs/ablation/attention.yaml,results/raw/attention_control.csv,a3f7c2e,Line V: Table 11; IGCA+ICB=73.2; conventional_bidir=71.5
dsconv_tradeoff,DSConv vs standard convolution trade-off (Line T: test; KNN),ds_rangenet_full,0,test_S6_S7,ds_rangenet_seed0_ep138_miou73.16.pth,73.16,72.61,3,yes,2100,0,NA,configs/backbone/tradeoff.yaml,results/raw/dsconv_tradeoff.csv,a3f7c2e,Line T: Table 12; DSConv=5.69M 37.2ms 73.2; Standard=48.3M 126ms 73.7
robustness,21-condition corruption robustness (Line T: test; KNN; 7 families x 3 severities),ds_rangenet_full,0,test_S6_S7,ds_rangenet_seed0_ep138_miou73.16.pth,73.16,72.61,3,yes,2100,0,70003,configs/robustness/three_severity.yaml,results/raw/robustness_runs.csv,a3f7c2e,Line T: Table 10; cross-perturbation mean=66.75; rel_drop=8.81
cross_sensor_mid360,Mid-360 reference checkpoint (Line C: cross-sensor; dedicated checkpoint; pre/post KNN),ds_rangenet,0,test_mid360,ds_rangenet_mid360_seed0_ep140_miou71.60.pth,71.60,71.00,5,yes,NA,0,NA,configs/cross_sensor/mid360.yaml,results/raw/cross_sensor_runs.csv,a3f7c2e,Line C: Table 13; valid_pixels=82.4; pre-KNN=71.0; post-KNN=71.6
cross_sensor_helios32_zero,RS-Helios32 zero-shot transfer (Line C: cross-sensor; no fine-tuning),ds_rangenet,0,test_helios32,ds_rangenet_helios_0shot_seed0_ep140_miou66.90.pth,66.90,66.20,5,yes,NA,0,NA,configs/cross_sensor/helios32_zero_shot.yaml,results/raw/cross_sensor_helios32_zero.csv,a3f7c2e,Line C: Table 13; valid_pixels=63.1; pre-KNN=66.2; post-KNN=66.9; drop=-4.7pp
cross_sensor_helios32_ft,RS-Helios32 10pct fine-tune 5 seeds (Line C: cross-sensor; 5 independent subsets),ds_rangenet,0,test_helios32_ft,ds_rangenet_helios_ft_seed0_ep85_miou69.82.pth,69.82,69.10,5,yes,NA,0;1;2;3;4,NA,configs/cross_sensor/helios32_finetune.yaml,results/raw/cross_sensor_helios32_ft.csv,a3f7c2e,Line C: Table 13; pre-KNN=68.4; post-KNN=69.8; drop=-1.8pp; mean=69.82 std=0.26
cross_sensor_semantickitti,SemanticKITTI validation (Line P: official split; KNN),ds_rangenet,0,official_val_seq08,ds_rangenet_semantickitti_seed0_ep120_miou61.90.pth,61.90,NA,5,yes,NA,0,NA,configs/cross_sensor/semantickitti.yaml,results/raw/public_benchmark.csv,a3f7c2e,Line P: Table 14; SemanticKITTI mIoU=61.9; 5.69M; 46ms
cross_sensor_semanticposs,SemanticPOSS validation (Line P: official split; KNN),ds_rangenet,0,official_val_seq02,ds_rangenet_semanticposs_seed0_ep115_miou54.10.pth,54.10,NA,5,yes,NA,0,NA,configs/cross_sensor/semanticposs.yaml,results/raw/public_benchmark.csv,a3f7c2e,Line P: Table 14; SemanticPOSS mIoU=54.1; 5.69M; 34ms
deployment,Jetson AGX Orin 60-min endurance (Line T: test; KNN; MAXN mode),ds_rangenet,0,test_S6_S7,ds_rangenet_v3.onnx,NA,NA,3,yes,36000,0,NA,deployment/jetson_environment.txt,deployment/latency_raw.csv;deployment/power_raw.csv;deployment/memory_raw.csv;deployment/endurance_60min.csv,a3f7c2e,Line T: Table 15; mean_lat=37.4ms; P95=39.8; P99=41.6; 0 dropped frames; 21.3W; 71C
per_class_iou,Per-class IoU DS-RangeNet test set (Line T: test; KNN),ds_rangenet,0,test_S6_S7,ds_rangenet_seed0_ep138_miou73.16.pth,NA,NA,3,yes,2100,0,NA,configs/models/ds_rangenet.yaml,results/raw/per_class_iou.csv,a3f7c2e,Line T: Table 3; Bg=88.5 Gr=89.6 Ro=77.1 SF=78.0 FF=73.0 Bm=60.2 Co=63.5 Wi=66.8 Dy=61.38
repr_similarity,Representation similarity CKA/cross-covariance (Line V: validation; epoch 138; seed 0),ds_rangenet_full,0,validation_S3,ds_rangenet_full_I_seed0_ep138_miou73.18.pth,NA,NA,3,no,1300,0,NA,configs/analysis/repr_similarity.yaml,results/raw/repr_similarity.csv,a3f7c2e,Line V: Table 9 left; input=0.11/0.09; encoders=0.18/0.14; CBAM=0.41/0.33; IGCA+ICB=0.63/0.52
alpha_beta_gates,Learned IGCA scaling factors alpha/beta (Line V: 5 seeds),ds_rangenet_full,0,validation_S3,ds_rangenet_full_I_seed0_ep138_miou73.18.pth,NA,NA,3,no,1300,0;1;2;3;4,NA,configs/analysis/gates.yaml,results/raw/alpha_beta_gates.csv,a3f7c2e,Line V: alpha saturates ~0.34; beta ~0.27; Figure 8
convergence_curves,Training convergence curves all methods (Line T: validation),ds_rangenet,0,validation_S3,ds_rangenet_seed0_ep138_miou73.16.pth,NA,NA,3,no,1300,0,NA,configs/train/default.yaml,results/raw/convergence_curves.csv,a3f7c2e,Line T: Figure 3; all methods plateau before epoch 150
inference_efficiency,Per-frame inference efficiency breakdown (Line T: Jetson GPU + Intel CPU),ds_rangenet,0,test_S6_S7,ds_rangenet_seed0_ep138_miou73.16.pth,NA,NA,3,yes,3600,0,NA,deployment/jetson_environment.txt,results/raw/inference_efficiency.csv,a3f7c2e,Line T: Table 15; total GPU=37.2ms FPS=26.9; CPU=253.5ms FPS=3.9
